-4394274606271.173340 	 -9653908428365.476562 	 10350169648797.052734 	 4949314237321.989258
-1260609559396.258057 	 8306841915603.059570 	 4422680876004.979492 	 1838417545096.045654
631343236720.537964 	 -10144286167984.257812 	 1421854673268.833984 	 -11008842752985.923828
12931292833223.490234 	 -2432201484174.451660 	 1342946532456.177979 	 13367446778439.673828
1158025474043.387207 	 8210329980249.113281 	 -6260289666779.109375 	 4231480258868.624512
8815453483261.656250 	 7926126825755.774414 	 10767132375873.017578 	 -83672288187.962860
3075804349387.095703 	 -7962645799457.807617 	 2284392064353.315918 	 -216911639483.595795
-11778443583835.449219 	 -13676986993652.755859 	 21641819937305.171875 	 -5022903441394.220703
17981019873789.558594 	 -7628702046806.752930 	 1662281398661.721191 	 5714413488260.506836
-4852670092515.772461 	 -6680370479379.639648 	 3698276797457.257812 	 -3569855951550.767578
4416470472532.296875 	 -2501731149644.512695 	 7329611151617.219727 	 3514226435455.818359
-13020904274444.609375 	 -7651256596188.709961 	 2895967622743.569336 	 13487000991135.265625
-7791234368527.874023 	 -4777174641714.430664 	 -19865287892778.636719 	 3982557701395.584473
936098113441.174438 	 2201227518449.661621 	 -169213918649.739807 	 -1697697182551.573486
-4342614567520.917969 	 1148594840692.105225 	 4781113234194.529297 	 -6869458441088.085938
-6404228923031.755859 	 15291310815135.070312 	 21500599478373.089844 	 -1653389985566.230713
6360969552396.032227 	 -2699275098673.383789 	 8352309622768.328125 	 -2565634291340.051270
6593290693840.851562 	 -18283191980656.882812 	 13190932124358.716797 	 5947816969425.776367
-2766654032567.555664 	 -550031117777.927979 	 -11645951355702.109375 	 -6438193496059.549805
1861037294796.025879 	 11249060787983.978516 	 8741006850107.391602 	 9508858598982.582031
-3901485679876.171387 	 -8252754384970.011719 	 22071087097950.949219 	 -3621527019202.312988
5641216586565.534180 	 -20497482513519.683594 	 21500253140698.449219 	 -3190254618260.165527
5421928189933.250977 	 -3112334610970.332520 	 -16198785901261.183594 	 -1114661555705.244629
-7604127189537.745117 	 -5399267337860.699219 	 8652756739309.288086 	 15574294539788.189453
-5067985624632.284180 	 2598636033505.949219 	 -13357464462570.037109 	 5046241179160.246094
8090521458685.750977 	 -3755228420801.747559 	 -4137223228024.572754 	 -5855255792886.324219
-7299626488590.976562 	 3966253555272.007812 	 -6043613151330.902344 	 -1378774172898.533691
2276559911048.156738 	 -11862120117935.904297 	 -4377872490695.528809 	 -14722242442288.984375
13580580933230.427734 	 -658831343112.984009 	 1346570882445.436768 	 24891798528518.574219
13622060137607.515625 	 -5159350787607.808594 	 26084636772179.777344 	 3699592775618.052246
-10459772747712.697266 	 3870573609236.607422 	 -11484075513043.271484 	 -2733151068643.190430
3067773873990.541016 	 15494817538302.613281 	 -852091468120.707397 	 -10043313439038.308594
558767840892.273560 	 -6317837226142.503906 	 10595547902216.310547 	 -16267689224467.279297
-17063641807484.306641 	 14157741368342.863281 	 10163939026341.898438 	 9242101628283.003906
4882280977960.062500 	 -5939233659826.529297 	 3631636192071.432129 	 21656110442139.078125
7124346504372.230469 	 -3153214049955.221680 	 14814937191636.845703 	 1824897490303.977051
14342413009158.585938 	 -3453778729310.529297 	 -17911197658263.652344 	 2858856507967.513672
